+--------+-----------+----------------------------------------------------+-------------------------------+------------------------------------------------------------------------+--------------+
| Domain | Method    | URI                                                | Name                          | Action                                                                 | Middleware   |
+--------+-----------+----------------------------------------------------+-------------------------------+------------------------------------------------------------------------+--------------+
|        | POST      | cursus_accs                                        | cursus_accs.store             | App\Http\Controllers\Cursus_accsController@store                       | web          |
|        | GET|HEAD  | cursus_accs/create                                 | cursus_accs.create            | App\Http\Controllers\Cursus_accsController@create                      | web          |
|        | GET|HEAD  | cursus_accs/{cursus_acc}                           | cursus_accs.show              | App\Http\Controllers\Cursus_accsController@show                        | web          |
|        | PUT|PATCH | cursus_accs/{cursus_acc}                           | cursus_accs.update            | App\Http\Controllers\Cursus_accsController@update                      | web          |
|        | DELETE    | cursus_accs/{cursus_acc}                           | cursus_accs.destroy           | App\Http\Controllers\Cursus_accsController@destroy                     | web          |
|        | GET|HEAD  | cursus_accs/{cursus_acc}/edit                      | cursus_accs.edit              | App\Http\Controllers\Cursus_accsController@edit                        | web          |
|        | GET|HEAD  | departements                                       | departements.index            | App\Http\Controllers\DepartementsController@index                      | web          |
|        | POST      | departements                                       | departements.store            | App\Http\Controllers\DepartementsController@store                      | web          |
|        | GET|HEAD  | departements/create                                | departements.create           | App\Http\Controllers\DepartementsController@create                     | web          |
|        | DELETE    | departements/{departement}                         | departements.destroy          | App\Http\Controllers\DepartementsController@destroy                    | web          |
|        | GET|HEAD  | departements/{departement}                         | departements.show             | App\Http\Controllers\DepartementsController@show                       | web          |
|        | PUT|PATCH | departements/{departement}                         | departements.update           | App\Http\Controllers\DepartementsController@update                     | web          |
|        | GET|HEAD  | departements/{departement}/edit                    | departements.edit             | App\Http\Controllers\DepartementsController@edit                       | web          |
|        | GET|HEAD  | ens_chef_dpts                                      | ens_chef_dpts.index           | App\Http\Controllers\Ens_chef_dptsController@index                     | web,auth     |
|        | POST      | ens_chef_dpts                                      | ens_chef_dpts.store           | App\Http\Controllers\Ens_chef_dptsController@store                     | web,auth     |
|        | GET|HEAD  | ens_chef_dpts/create                               | ens_chef_dpts.create          | App\Http\Controllers\Ens_chef_dptsController@create                    | web,auth     |
|        | DELETE    | ens_chef_dpts/{ens_chef_dpt}                       | ens_chef_dpts.destroy         | App\Http\Controllers\Ens_chef_dptsController@destroy                   | web,auth     |
|        | GET|HEAD  | ens_chef_dpts/{ens_chef_dpt}                       | ens_chef_dpts.show            | App\Http\Controllers\Ens_chef_dptsController@show                      | web,auth     |
|        | PUT|PATCH | ens_chef_dpts/{ens_chef_dpt}                       | ens_chef_dpts.update          | App\Http\Controllers\Ens_chef_dptsController@update                    | web,auth     |
|        | GET|HEAD  | ens_chef_dpts/{ens_chef_dpt}/edit                  | ens_chef_dpts.edit            | App\Http\Controllers\Ens_chef_dptsController@edit                      | web,auth     |
|        | GET|HEAD  | enseignant                                         | enseignant.index              | App\Http\Controllers\Users\EnseignantController@index                  | web,auth     |
|        | POST      | enseignant                                         | enseignant.store              | App\Http\Controllers\Users\EnseignantController@store                  | web,auth     |
|        | GET|HEAD  | enseignant/create                                  | enseignant.create             | App\Http\Controllers\Users\EnseignantController@create                 | web,auth     |
|        | DELETE    | enseignant/{enseignant}                            | enseignant.destroy            | App\Http\Controllers\Users\EnseignantController@destroy                | web,auth     |
|        | PUT|PATCH | enseignant/{enseignant}                            | enseignant.update             | App\Http\Controllers\Users\EnseignantController@update                 | web,auth     |
|        | GET|HEAD  | enseignant/{enseignant}                            | enseignant.show               | App\Http\Controllers\Users\EnseignantController@show                   | web,auth     |
|        | GET|HEAD  | enseignant/{enseignant}/edit                       | enseignant.edit               | App\Http\Controllers\Users\EnseignantController@edit                   | web,auth     |
|        | POST      | etud_ins_mats                                      | etud_ins_mats.store           | App\Http\Controllers\Etud_ins_matsController@store                     | web,auth     |
|        | GET|HEAD  | etud_ins_mats                                      | etud_ins_mats.index           | App\Http\Controllers\Etud_ins_matsController@index                     | web,auth     |
|        | GET|HEAD  | etud_ins_mats/create                               | etud_ins_mats.create          | App\Http\Controllers\Etud_ins_matsController@create                    | web,auth     |
|        | DELETE    | etud_ins_mats/{etud_ins_mat}                       | etud_ins_mats.destroy         | App\Http\Controllers\Etud_ins_matsController@destroy                   | web,auth     |
|        | PUT|PATCH | etud_ins_mats/{etud_ins_mat}                       | etud_ins_mats.update          | App\Http\Controllers\Etud_ins_matsController@update                    | web,auth     |
